Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2003M12;74,294
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2003M11;74,167
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2003M10;73,926
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2003M09;73,431
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2003M08;73,213
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2003M07;72,878
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2003M06;73,338
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2003M05;73,289
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2003M04;73,357
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2003M03;72,765
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2003M02;72,264
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2003M01;72,111
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2002M12;72,409
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2002M11;72,169
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2002M10;72,058
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2002M09;71,351
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2002M08;71,085
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2002M07;70,882
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2002M06;71,377
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2002M05;71,374
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2002M04;71,118
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2002M03;70,165
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2002M02;69,590
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2002M01;69,530
